system:index,average_surface_temp,date,satellite,.geo
1_1_1_2_LT05_018031_19950425,231.18970892,1995-04-25,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950527,260.31807535999997,1995-05-27,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950612,287.04357374,1995-06-12,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950628,292.3346687,1995-06-28,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950714,295.71509047999996,1995-07-14,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950730,295.96460593999996,1995-07-30,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950815,293.9582282,1995-08-15,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950831,293.1037232,1995-08-31,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19950916,266.54136659690533,1995-09-16,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19951002,291.18279596,1995-10-02,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19951018,256.24144226614334,1995-10-18,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19951103,281.5371435199999,1995-11-03,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19951221,273.62442722000003,1995-12-21,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960207,243.28949972000007,1996-02-07,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960223,271.04382212,1996-02-23,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960310,266.46025729999997,1996-03-10,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960326,262.82690204,1996-03-26,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960411,273.96622922,1996-04-11,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960427,275.13177404,1996-04-27,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960513,278.41649126,1996-05-13,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2_LT05_018031_19960529,281.5679057,1996-05-29,LANDSAT_5,"{""type"":""MultiPoint"",""coordinates"":[]}"
